,station,date,latitude,longitude,elevation,name,prcp,snwd,tmax,tmin,tavg,tavg_attributes,city name,cou
30981,GME00111445,2020-02-13,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",9.0,,59.0,14.0,,,Berlin,DEU
30982,GME00111445,2020-02-14,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",4.0,,60.0,19.0,,,Berlin,DEU
30983,GME00111445,2020-02-15,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,110.0,9.0,,,Berlin,DEU
30984,GME00111445,2020-02-16,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",14.0,,160.0,73.0,,,Berlin,DEU
30985,GME00111445,2020-02-17,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",4.0,,120.0,70.0,,,Berlin,DEU
30986,GME00111445,2020-02-18,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",3.0,,83.0,50.0,,,Berlin,DEU
30987,GME00111445,2020-02-19,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",62.0,,68.0,34.0,,,Berlin,DEU
30988,GME00111445,2020-02-20,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",47.0,,78.0,17.0,,,Berlin,DEU
30989,GME00111445,2020-02-21,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",0.0,,84.0,42.0,,,Berlin,DEU
30990,GME00111445,2020-02-22,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",12.0,,126.0,57.0,,,Berlin,DEU
30991,GME00111445,2020-02-23,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",164.0,,85.0,38.0,,,Berlin,DEU
30992,GME00111445,2020-02-24,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",73.0,,78.0,37.0,,,Berlin,DEU
30993,GME00111445,2020-02-25,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",32.0,,106.0,41.0,,,Berlin,DEU
30994,GME00111445,2020-02-26,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",41.0,,44.0,12.0,,,Berlin,DEU
30995,GME00111445,2020-02-27,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",4.0,,59.0,17.0,,,Berlin,DEU
30996,GME00111445,2020-02-28,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",28.0,,80.0,14.0,,,Berlin,DEU
30997,GME00111445,2020-02-29,52.4683,13.4039,48.0,"BERLIN TEMPELHOF, GM",11.0,,121.0,10.0,,,Berlin,DEU
15949,GME00126910,2019-12-01,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",18.0,0.0,,,,,Munich,DEU
15950,GME00126910,2019-12-02,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,20.0,,,,,Munich,DEU
15951,GME00126910,2019-12-03,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
